Date,Day,Month,Year,Holiday
2025-07-07,Monday,July,2025,
2025-07-08,Tuesday,July,2025,
2025-07-09,Wednesday,July,2025,Nunavut Day (Nunavut only)
2025-07-10,Thursday,July,2025,
2025-07-11,Friday,July,2025,
2025-07-12,Saturday,July,2025,
2025-07-13,Sunday,July,2025,
2025-07-14,Monday,July,2025,
2025-07-15,Tuesday,July,2025,
2025-07-16,Wednesday,July,2025,
2025-07-17,Thursday,July,2025,
2025-07-18,Friday,July,2025,
2025-07-19,Saturday,July,2025,
2025-07-20,Sunday,July,2025,
2025-07-21,Monday,July,2025,
2025-07-22,Tuesday,July,2025,
2025-07-23,Wednesday,July,2025,
2025-07-24,Thursday,July,2025,
2025-07-25,Friday,July,2025,
2025-07-26,Saturday,July,2025,
2025-07-27,Sunday,July,2025,
2025-07-28,Monday,July,2025,
2025-07-29,Tuesday,July,2025,
2025-07-30,Wednesday,July,2025,
2025-07-31,Thursday,July,2025,
2025-08-01,Friday,August,2025,
2025-08-02,Saturday,August,2025,
2025-08-03,Sunday,August,2025,
2025-08-04,Monday,August,2025,Civic Holiday
2025-08-05,Tuesday,August,2025,
2025-08-06,Wednesday,August,2025,
2025-08-07,Thursday,August,2025,
2025-08-08,Friday,August,2025,
2025-08-09,Saturday,August,2025,
2025-08-10,Sunday,August,2025,
2025-08-11,Monday,August,2025,
2025-08-12,Tuesday,August,2025,
2025-08-13,Wednesday,August,2025,
2025-08-14,Thursday,August,2025,
2025-08-15,Friday,August,2025,
2025-08-16,Saturday,August,2025,
2025-08-17,Sunday,August,2025,
2025-08-18,Monday,August,2025,
2025-08-19,Tuesday,August,2025,
2025-08-20,Wednesday,August,2025,
2025-08-21,Thursday,August,2025,
2025-08-22,Friday,August,2025,
2025-08-23,Saturday,August,2025,
2025-08-24,Sunday,August,2025,
2025-08-25,Monday,August,2025,
2025-08-26,Tuesday,August,2025,
2025-08-27,Wednesday,August,2025,
2025-08-28,Thursday,August,2025,
2025-08-29,Friday,August,2025,
